,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
254,20,3,70.0,8400,1,3,3,0,4,0,12,2,2,0,2,5,6,1957,1957,1,1,8,8,2,0.0,3,2,1,3,3,3,4,922,5,0,392,1314,1,4,1,4,1314,0,0,1314,1,0,1,0,3,1,3,5,6,0,2,1,1957.0,1,1,294,4,4,2,250,0,0,0,0,0,2,2,2,0,6,2010,8,4
255,60,3,66.0,8738,1,0,3,0,4,0,8,2,2,0,5,7,5,1999,1999,1,1,12,13,1,302.0,2,4,2,2,3,3,5,0,5,0,975,975,1,0,1,4,1005,1286,0,2291,0,0,2,1,4,1,2,8,6,1,4,3,1999.0,0,2,429,4,4,2,192,0,0,0,0,0,2,2,2,0,2,2006,8,4
256,60,1,64.0,8791,1,0,3,0,4,0,21,2,2,0,5,6,5,2003,2003,1,1,12,13,2,0.0,2,4,2,2,3,3,4,503,5,0,361,864,1,0,1,4,864,864,0,1728,0,0,2,1,3,1,2,7,6,0,2,1,2003.0,1,2,673,4,4,2,216,56,0,0,0,0,2,2,2,0,5,2008,8,4
257,20,3,68.0,8814,1,3,3,0,4,0,5,2,2,0,2,7,5,2006,2006,1,1,12,13,3,180.0,2,4,2,2,3,3,2,1334,5,0,270,1604,1,0,1,4,1604,0,0,1604,1,0,2,1,3,1,2,8,6,1,2,1,2006.0,1,2,660,4,4,2,123,110,0,0,0,0,2,2,2,0,3,2009,8,0
258,60,3,80.0,12435,1,3,3,0,4,0,5,2,2,0,5,7,5,2001,2001,1,1,12,13,1,172.0,2,4,2,2,3,3,2,361,5,0,602,963,1,0,1,4,963,829,0,1792,0,0,2,1,3,1,2,7,6,1,4,1,2001.0,1,2,564,4,4,2,0,96,0,245,0,0,2,2,2,0,5,2008,8,4
259,20,4,70.0,12702,1,3,3,0,4,0,17,2,2,0,2,5,5,1956,1956,1,1,3,3,2,0.0,3,4,2,3,3,3,2,0,5,0,0,0,1,2,1,0,882,0,0,882,0,0,1,0,2,1,3,4,6,0,2,5,1956.0,2,1,308,4,4,2,0,45,0,0,0,0,2,2,2,0,12,2008,8,4
260,80,3,120.0,19296,1,3,3,0,0,0,12,0,2,0,7,6,5,1962,1962,1,1,13,14,1,399.0,3,4,1,3,3,1,4,672,0,690,0,1362,1,4,1,4,1382,0,0,1382,1,0,1,0,3,1,3,6,6,1,4,1,1991.0,2,2,884,4,4,2,0,0,252,0,0,0,2,1,2,0,5,2009,8,4
261,60,3,69.0,9588,1,0,3,0,4,0,5,2,2,0,5,8,5,2007,2007,1,1,5,5,3,270.0,2,4,2,0,3,3,5,0,5,0,1482,1482,1,0,1,4,1482,1092,0,2574,0,0,2,1,3,1,0,10,6,1,2,3,2007.0,0,3,868,4,4,2,0,148,0,0,0,0,2,2,2,0,11,2007,6,5
262,80,3,88.0,8471,1,0,3,0,0,0,19,2,2,0,7,6,7,1977,1995,1,1,6,10,1,46.0,3,4,1,2,1,0,0,506,5,0,0,506,1,4,1,4,1212,0,0,1212,1,0,1,0,3,1,3,6,6,1,4,1,1978.0,2,2,492,4,4,2,292,12,0,0,0,0,2,1,2,0,7,2006,8,4
263,50,4,50.0,5500,1,3,3,0,0,0,17,2,2,0,0,5,7,1929,2001,1,1,13,14,2,0.0,3,4,0,3,3,3,3,234,0,692,0,926,1,4,1,4,926,0,390,1316,1,0,1,0,3,1,3,6,6,0,2,5,1974.0,2,2,484,4,4,2,0,0,0,0,0,0,2,2,2,0,4,2010,8,4
264,30,4,30.0,5232,1,2,0,0,4,0,17,0,2,0,2,5,5,1925,2004,1,1,13,14,2,0.0,3,4,0,1,3,3,5,0,5,0,680,680,1,2,0,2,764,0,0,764,0,0,1,0,2,1,3,4,6,0,2,5,1965.0,2,2,504,4,4,0,0,0,0,0,0,0,2,2,2,0,6,2008,8,4
265,20,3,78.0,12090,1,0,3,0,4,0,14,2,2,0,2,6,6,1981,1981,1,1,8,8,1,210.0,3,2,1,2,3,3,2,588,3,228,606,1422,1,4,1,4,1422,0,0,1422,0,0,2,0,3,1,2,7,6,1,4,1,1981.0,0,2,576,4,4,2,276,0,0,0,0,0,2,0,2,0,6,2008,8,4
266,60,3,70.0,11207,1,0,1,0,2,0,8,2,2,0,5,6,5,1997,1997,1,1,12,13,2,0.0,3,4,2,2,3,0,2,714,5,0,88,802,1,2,1,4,802,709,0,1511,1,0,2,1,3,1,3,8,6,1,4,1,1997.0,0,2,413,4,4,2,95,75,0,0,0,0,2,2,2,0,6,2006,8,4
267,75,3,60.0,8400,1,3,0,0,4,1,18,2,2,0,3,5,8,1939,1997,1,1,13,14,2,0.0,3,4,2,3,3,3,3,378,5,0,342,720,1,0,1,4,1052,720,420,2192,0,0,2,1,4,1,2,8,6,1,2,5,1939.0,2,1,240,4,4,2,262,24,0,0,0,0,2,2,2,0,7,2008,8,4
268,30,4,71.0,6900,1,3,3,0,4,0,9,2,2,0,2,5,6,1940,1955,1,1,12,13,2,0.0,3,4,1,3,3,3,0,403,4,125,212,740,1,0,1,4,778,0,0,778,0,0,1,0,2,1,3,4,6,1,2,5,1966.0,0,1,924,0,0,2,0,25,0,0,0,0,2,2,2,0,2,2008,8,4
269,20,3,69.0,7917,1,0,3,0,0,0,7,2,2,0,2,6,7,1976,1976,3,1,6,6,1,174.0,3,2,1,3,1,3,1,751,5,0,392,1143,1,4,1,4,1113,0,0,1113,1,0,1,1,3,1,3,6,6,1,1,1,1987.0,1,1,504,4,2,2,370,30,0,0,0,0,2,0,2,0,5,2007,8,4
270,60,1,84.0,10728,1,3,3,0,4,0,21,2,2,0,5,8,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,3,2,5,0,5,0,1095,1095,1,2,1,4,1095,844,0,1939,0,0,2,1,3,1,2,8,6,1,2,1,2006.0,1,3,1053,4,4,2,192,51,0,0,0,0,2,2,2,0,8,2006,6,5
271,20,3,73.0,39104,1,0,2,0,1,2,4,2,2,0,2,7,7,1954,2005,0,2,9,10,2,0.0,3,4,1,2,3,1,3,226,2,1063,96,1385,1,0,1,4,1363,0,0,1363,1,0,1,0,2,1,3,5,4,2,4,1,1954.0,2,2,439,4,4,2,81,0,0,0,0,0,2,2,2,0,4,2008,8,4
272,60,3,92.0,11764,1,0,3,0,1,0,15,2,2,0,5,8,7,1999,2007,1,1,12,13,1,348.0,2,4,2,2,3,3,2,524,5,0,628,1152,1,0,1,4,1164,1106,0,2270,0,0,2,1,4,1,2,9,6,1,2,1,1999.0,0,3,671,4,4,2,132,57,0,0,0,0,2,2,2,0,4,2010,8,4
273,20,3,80.0,9600,1,3,3,0,4,0,12,1,2,0,2,6,6,1958,1988,3,1,13,14,0,183.0,3,4,1,3,3,3,4,620,3,620,0,1240,1,2,1,4,1632,0,0,1632,1,0,2,0,3,1,3,6,2,1,2,1,1958.0,1,1,338,4,4,2,289,0,0,0,0,0,2,2,2,0,4,2009,8,4
274,20,3,76.0,8314,1,3,3,0,0,0,11,2,2,0,2,5,7,1982,1982,1,1,6,7,2,0.0,3,4,1,3,3,1,0,546,5,0,270,816,1,4,1,4,816,0,0,816,0,0,1,0,2,1,3,5,6,0,2,1,1982.0,2,1,264,4,4,2,168,0,0,0,0,0,2,2,2,0,6,2007,8,4
275,50,3,55.0,7264,1,3,3,0,4,0,3,2,2,0,0,7,7,1925,2007,1,1,13,14,2,0.0,2,2,0,3,3,3,5,0,5,0,952,952,2,2,0,4,952,596,0,1548,0,0,2,1,3,1,0,5,6,0,2,5,1978.0,2,2,672,4,4,2,74,0,0,0,144,0,2,2,2,0,10,2009,8,4
276,20,3,129.0,9196,1,0,3,0,4,0,11,2,2,0,2,7,5,2003,2003,1,1,12,13,2,0.0,2,4,2,0,3,3,5,0,5,0,1560,1560,1,0,1,4,1560,0,0,1560,0,0,2,0,3,1,2,7,6,0,2,1,2003.0,0,2,573,4,4,2,100,150,0,0,0,0,2,2,2,0,4,2010,8,4
277,20,3,140.0,19138,1,3,3,0,0,0,8,2,2,0,2,4,5,1951,1951,1,1,12,13,2,0.0,3,4,1,3,3,3,3,120,5,0,744,864,1,0,1,4,864,0,0,864,0,0,1,0,2,1,3,4,6,0,2,5,1951.0,2,2,400,4,4,2,0,0,0,0,0,0,2,2,2,0,6,2010,8,4
278,20,3,107.0,14450,1,3,3,0,4,0,16,2,2,0,2,9,5,2006,2007,1,1,5,5,1,315.0,0,4,2,0,3,1,5,0,5,0,2121,2121,1,0,1,4,2121,0,0,2121,0,0,2,1,3,1,0,8,6,1,0,1,2007.0,0,3,732,4,4,2,124,98,0,0,142,0,2,2,2,0,5,2007,6,5
279,60,3,83.0,10005,1,3,3,0,4,0,4,2,2,0,5,7,5,1977,1977,3,1,9,10,1,299.0,3,4,1,2,3,3,1,392,5,0,768,1160,1,0,1,4,1156,866,0,2022,0,0,2,1,4,1,3,8,6,1,4,1,1977.0,0,2,505,4,4,2,288,117,0,0,0,0,2,2,2,0,3,2008,8,4
280,60,3,82.0,11287,1,3,3,0,4,0,20,2,2,0,5,7,6,1989,1989,1,1,9,10,1,340.0,2,4,1,2,3,0,2,421,5,0,386,807,1,2,1,4,1175,807,0,1982,0,0,2,1,3,1,2,7,6,1,4,1,1989.0,0,2,575,4,4,2,0,84,0,196,0,0,2,2,2,0,1,2007,8,4
281,20,1,60.0,7200,1,3,3,0,4,0,21,2,2,0,2,6,5,2006,2006,1,1,12,13,3,68.0,2,4,2,2,3,3,2,905,5,0,357,1262,1,2,1,4,1262,0,0,1262,0,0,2,0,2,1,2,5,6,0,2,1,2006.0,0,2,572,4,4,2,0,120,0,0,0,0,2,2,2,0,5,2006,6,5
282,120,3,34.0,5063,1,3,3,0,4,0,16,2,2,3,2,7,5,2007,2008,1,1,12,13,3,166.0,2,4,2,2,3,3,2,904,5,0,410,1314,1,0,1,4,1314,0,0,1314,1,0,2,0,2,1,2,6,6,1,2,1,2008.0,1,2,626,4,4,2,172,62,0,0,0,0,2,2,2,0,4,2009,5,4
283,20,3,74.0,9612,1,3,3,0,4,0,21,1,2,0,2,8,5,2008,2009,1,1,12,13,3,72.0,2,4,2,2,3,3,5,0,5,0,1468,1468,1,0,1,4,1468,0,0,1468,0,0,2,0,3,1,2,6,6,1,2,1,2008.0,0,3,898,4,4,2,210,150,0,0,0,0,2,2,2,0,12,2009,6,5
284,120,3,50.0,8012,1,3,3,0,4,0,20,2,2,4,2,6,5,1992,1992,1,1,9,7,2,0.0,2,4,2,2,3,3,2,430,5,0,1145,1575,1,2,1,4,1575,0,0,1575,1,0,2,0,2,1,2,5,6,0,2,1,1992.0,1,2,529,4,4,2,0,0,52,0,0,0,2,2,2,0,7,2007,8,4
285,160,1,35.0,4251,1,0,3,0,4,0,21,2,2,4,5,7,5,2006,2007,1,1,8,8,2,0.0,2,4,2,2,3,3,5,0,5,0,625,625,1,0,1,4,625,625,0,1250,0,0,2,1,2,1,2,5,6,0,2,5,2006.0,1,2,528,4,4,2,0,54,0,0,0,0,2,2,2,0,6,2007,6,5
286,50,3,77.0,9786,1,0,0,0,4,0,12,2,2,0,0,6,7,1962,1981,1,1,13,14,2,0.0,3,4,1,3,3,3,4,600,5,0,312,912,1,4,1,4,1085,649,0,1734,0,0,1,1,3,1,2,7,6,1,2,1,1962.0,1,2,440,4,4,2,0,0,0,0,128,0,2,0,2,0,6,2006,8,4
287,20,3,69.0,8125,1,0,3,0,0,0,12,2,2,0,2,4,4,1971,1971,1,1,6,6,2,0.0,3,4,1,3,3,3,1,614,5,0,244,858,1,4,1,4,858,0,0,858,0,0,1,0,3,1,3,5,6,0,2,1,2005.0,2,0,0,4,4,2,0,0,0,0,0,0,2,2,2,0,6,2006,8,4
288,20,3,69.0,9819,1,0,3,0,4,0,19,2,2,0,2,5,5,1967,1967,1,1,8,8,1,31.0,3,2,1,3,3,3,1,450,5,0,432,882,1,4,1,4,900,0,0,900,0,0,1,0,3,1,3,5,6,0,2,5,1970.0,2,1,280,4,4,2,0,0,0,0,0,0,2,2,2,0,2,2010,8,4
289,70,3,60.0,8730,1,3,3,0,4,0,3,6,2,0,5,6,7,1915,2003,1,1,13,14,2,0.0,3,4,0,3,3,3,5,0,5,0,698,698,1,0,1,0,698,698,0,1396,0,0,1,0,3,1,3,7,6,0,2,5,2003.0,2,1,384,4,4,2,0,0,0,0,259,0,2,2,2,0,7,2007,8,4
290,60,3,120.0,15611,1,3,3,0,4,0,5,2,2,0,5,8,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,3,0,5,0,5,0,1079,1079,1,0,1,4,1079,840,0,1919,0,0,2,1,3,1,2,8,6,1,2,1,2006.0,1,2,685,2,4,2,0,51,0,0,0,0,2,2,2,0,7,2006,6,5
291,190,3,55.0,5687,1,3,0,0,4,0,18,2,2,1,5,5,6,1912,2000,1,1,12,13,2,0.0,3,1,2,3,0,3,4,210,5,0,570,780,1,0,0,4,936,780,0,1716,1,0,2,0,6,1,1,9,6,0,2,1,2005.0,2,0,0,4,4,0,0,184,0,0,0,0,2,2,2,0,3,2008,8,4
292,50,3,60.0,11409,1,3,3,0,4,0,7,2,2,0,0,5,4,1949,2008,1,1,13,14,2,0.0,3,4,1,3,3,3,3,292,5,0,476,768,1,2,1,4,1148,568,0,1716,0,0,1,1,3,1,3,8,3,1,2,1,1949.0,2,1,281,4,4,2,0,0,0,0,160,0,2,2,2,0,1,2009,8,4
293,60,3,69.0,16659,1,0,3,0,0,0,14,3,2,0,5,7,7,1977,1994,1,1,9,10,1,34.0,3,4,1,3,3,3,0,795,5,0,0,795,1,1,1,4,1468,795,0,2263,1,0,2,1,3,1,2,9,6,1,4,1,1977.0,0,2,539,4,4,2,0,250,0,0,0,0,2,2,2,0,3,2006,8,4
294,20,3,80.0,9600,1,3,3,0,4,0,12,2,2,0,2,6,5,1953,1953,3,1,6,6,3,238.0,3,4,1,3,3,3,2,1285,5,0,131,1416,1,4,1,4,1644,0,0,1644,1,0,1,0,3,1,3,7,6,2,2,1,1953.0,0,2,418,4,4,2,110,0,0,0,0,0,2,2,2,0,10,2009,8,4
295,80,3,37.0,7937,1,0,3,0,1,0,11,2,2,0,7,6,6,1984,1984,1,1,6,6,2,0.0,3,4,1,3,3,0,2,819,5,0,184,1003,1,4,1,4,1003,0,0,1003,1,0,1,0,3,1,3,6,6,0,2,5,1984.0,2,2,588,4,4,2,120,0,0,0,0,0,2,0,2,0,3,2006,8,4
296,50,4,75.0,13710,1,3,3,0,4,0,9,2,2,0,0,5,5,1950,1950,1,1,13,14,2,0.0,3,4,1,3,3,3,1,420,5,0,490,910,1,4,1,0,910,648,0,1558,0,0,1,1,4,1,3,6,6,0,2,1,1950.0,2,1,282,4,4,2,289,0,0,0,0,0,2,2,2,0,6,2007,8,4
297,60,1,66.0,7399,1,0,3,0,4,0,21,2,2,0,5,7,5,1997,1998,3,1,12,13,1,1600.0,2,4,2,2,3,3,1,649,5,0,326,975,1,0,1,4,975,975,0,1950,0,0,2,1,3,1,2,7,6,1,4,5,1997.0,1,2,576,4,4,2,0,10,0,0,198,0,2,2,2,0,6,2007,8,4
298,60,3,90.0,11700,1,3,3,0,4,0,14,2,2,0,5,6,6,1968,1968,4,1,6,1,1,365.0,2,4,1,3,3,3,0,384,4,175,143,702,1,2,1,4,1041,702,0,1743,0,1,1,2,3,1,3,7,6,1,2,1,1968.0,2,2,539,4,4,2,224,0,0,0,0,0,2,2,2,0,6,2007,8,4
299,20,3,80.0,14000,1,3,3,0,4,0,6,2,2,0,2,6,8,1950,2004,1,1,6,6,2,0.0,3,2,1,3,3,3,5,0,5,0,1092,1092,1,0,1,4,1152,0,0,1152,0,1,1,0,3,1,2,6,6,1,2,1,1950.0,2,1,300,4,4,2,0,36,0,0,0,0,2,0,2,0,8,2009,8,3
300,190,3,90.0,15750,1,3,3,0,0,0,6,2,2,1,2,5,5,1953,1953,3,1,8,8,1,56.0,3,4,1,3,3,2,1,841,5,0,324,1165,1,4,1,4,1336,0,0,1336,1,0,1,0,2,1,3,5,6,2,2,1,1953.0,2,1,375,4,4,2,0,0,0,0,0,0,2,2,2,0,6,2006,8,4
301,60,3,66.0,16226,1,2,3,0,4,0,5,2,2,0,5,8,5,1998,1999,1,1,12,13,2,0.0,2,4,2,2,3,3,2,281,5,0,747,1028,1,0,1,4,1210,1242,0,2452,0,0,2,1,4,1,2,9,6,1,4,3,1998.0,0,2,683,4,4,2,208,50,0,0,0,0,2,2,2,0,5,2007,8,4
302,20,3,118.0,13704,1,0,3,0,0,0,5,2,2,0,2,7,5,2001,2002,1,1,12,13,1,150.0,2,4,2,2,3,3,5,0,5,0,1541,1541,1,0,1,4,1541,0,0,1541,0,0,2,0,3,1,2,6,6,1,4,1,2001.0,1,3,843,4,4,2,468,81,0,0,0,0,2,2,2,0,1,2006,8,4
303,20,3,70.0,9800,1,3,3,0,0,0,5,2,2,0,2,5,7,1972,1972,1,1,12,13,2,0.0,3,4,2,3,3,3,0,894,5,0,0,894,1,4,1,4,894,0,0,894,1,0,1,0,3,1,3,5,6,0,2,1,1975.0,2,2,552,4,4,2,256,0,0,0,0,0,2,1,2,0,7,2006,8,0
304,75,4,87.0,18386,1,3,3,0,4,0,17,2,2,0,3,7,9,1880,2002,1,1,5,5,2,0.0,3,4,0,3,3,3,5,0,5,0,1470,1470,1,0,1,4,1675,1818,0,3493,0,0,3,0,3,1,2,10,6,1,0,1,2003.0,2,3,870,4,4,2,302,0,0,0,0,0,2,2,2,0,5,2008,8,4
305,20,3,80.0,10386,1,3,3,0,4,0,5,2,2,0,2,8,5,2004,2005,1,1,5,5,3,246.0,2,4,2,2,3,3,2,1464,5,0,536,2000,1,0,1,4,2000,0,0,2000,1,0,2,0,3,1,2,8,6,0,2,1,2004.0,0,3,888,4,4,2,168,0,0,0,0,0,2,2,2,0,7,2007,8,4
306,60,3,116.0,13474,1,3,3,0,4,0,20,1,2,0,5,7,5,1990,1991,1,1,6,10,1,246.0,2,4,1,2,3,3,0,700,5,0,0,700,1,2,1,4,1122,1121,0,2243,1,0,2,1,4,1,2,8,6,1,4,1,1990.0,1,3,746,4,4,2,127,44,224,0,0,0,2,2,2,0,6,2007,8,4
307,50,4,69.0,7920,1,0,3,0,4,0,9,0,2,0,0,6,7,1920,1950,1,1,8,8,2,0.0,3,1,1,3,3,3,5,0,5,0,319,319,1,4,1,0,1035,371,0,1406,0,0,1,0,3,1,1,6,6,0,2,1,2005.0,2,0,0,4,4,0,0,144,0,0,0,0,2,2,2,0,3,2008,8,4
308,30,3,69.0,12342,1,0,3,0,4,0,7,2,2,0,2,4,5,1940,1950,1,1,12,13,2,0.0,3,4,1,3,3,3,1,262,5,0,599,861,1,0,1,4,861,0,0,861,0,0,1,0,1,1,3,4,6,0,2,5,1961.0,2,2,539,4,4,2,158,0,0,0,0,0,2,2,2,0,3,2009,8,4
309,20,3,90.0,12378,1,0,3,0,4,0,16,2,2,0,2,9,5,2003,2004,1,1,12,13,2,0.0,2,4,2,0,3,1,2,1274,5,0,622,1896,1,0,1,4,1944,0,0,1944,1,0,2,0,3,1,0,8,6,3,0,1,2003.0,0,3,708,4,4,2,208,175,0,0,0,0,2,2,2,0,11,2006,8,4
310,60,3,69.0,7685,1,0,3,0,4,0,8,2,2,0,5,6,5,1993,1994,1,1,6,6,1,112.0,3,4,2,2,3,3,0,518,5,0,179,697,1,2,1,4,697,804,0,1501,0,0,2,1,3,1,2,6,6,1,4,1,1993.0,0,2,420,4,4,2,190,63,0,0,0,0,2,2,2,0,5,2006,8,4
311,20,3,50.0,8000,1,3,3,0,4,0,12,2,2,0,2,6,6,1948,2002,1,1,12,13,2,0.0,3,2,1,3,3,3,0,680,5,0,292,972,1,0,1,4,972,0,0,972,1,0,1,0,2,1,3,5,6,1,2,5,1948.0,2,1,240,4,4,2,0,0,0,0,0,0,2,2,2,0,5,2009,8,4
312,190,4,65.0,7800,1,3,3,0,4,0,17,0,2,1,0,5,7,1939,1950,1,1,8,8,2,0.0,3,4,1,2,3,2,4,507,5,0,286,793,1,4,1,4,793,325,0,1118,1,0,1,0,3,1,3,5,6,1,2,5,1939.0,2,2,410,4,4,2,0,0,0,0,271,0,2,2,2,0,5,2006,8,4
313,20,3,150.0,215245,1,2,2,0,4,2,23,2,2,0,2,7,5,1965,1965,3,1,3,3,2,0.0,3,4,1,2,3,1,0,1236,4,820,80,2136,2,4,1,4,2036,0,0,2036,2,0,2,0,3,1,3,8,6,2,2,1,1965.0,1,2,513,4,4,2,0,0,0,0,0,0,2,2,2,0,6,2009,8,4
314,70,4,60.0,9600,1,3,3,0,4,0,17,2,2,0,5,7,7,1925,1990,1,1,13,14,2,0.0,3,4,0,3,1,3,3,16,5,0,712,728,1,0,1,4,832,809,0,1641,0,1,1,1,3,1,0,6,6,1,2,5,1925.0,2,2,546,1,4,2,0,0,234,0,0,0,2,2,2,0,8,2006,8,4
315,60,3,71.0,7795,1,0,3,0,4,0,8,2,2,0,5,7,5,2004,2005,1,1,12,13,2,0.0,2,4,2,2,3,3,2,425,5,0,291,716,1,0,1,4,716,716,0,1432,1,0,2,1,3,1,2,6,6,1,2,1,2004.0,0,2,432,4,4,2,100,51,0,0,0,0,2,2,2,0,7,2009,8,4
316,60,3,94.0,13005,1,0,3,0,0,0,14,2,2,0,5,7,7,1980,1980,1,1,5,5,1,278.0,2,4,1,2,3,3,2,692,5,0,153,845,1,4,1,4,1153,1200,0,2353,1,0,2,1,4,1,0,10,6,1,4,1,1983.0,1,2,484,4,4,2,288,195,0,0,0,0,2,0,2,0,8,2009,8,4
317,60,1,75.0,9000,1,3,3,0,4,0,21,2,2,0,5,8,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,3,0,5,0,5,0,1088,1088,1,0,1,4,1088,871,0,1959,0,0,2,1,3,1,2,8,6,1,2,1,2006.0,1,3,1025,4,4,2,208,46,0,0,0,0,2,2,2,0,12,2007,8,4
318,60,3,90.0,9900,1,3,2,0,4,1,15,2,2,0,5,7,5,1993,1993,1,1,6,6,1,256.0,2,4,2,2,3,1,2,987,5,0,360,1347,1,0,1,4,1372,1274,0,2646,1,0,2,1,4,1,2,9,6,1,4,1,1993.0,1,3,656,4,4,2,340,60,144,0,0,0,2,2,2,0,4,2009,8,4
319,80,3,69.0,14115,1,3,3,0,4,0,14,2,2,0,7,7,5,1980,1980,1,1,9,10,1,225.0,3,4,1,2,3,0,2,1036,5,0,336,1372,1,4,1,4,1472,0,0,1472,1,0,2,0,3,1,3,6,6,2,4,1,1980.0,2,2,588,4,4,2,233,48,0,0,0,0,2,2,2,0,6,2009,8,4
320,60,3,111.0,16259,1,3,3,0,0,0,16,2,2,0,5,9,5,2006,2006,1,1,12,13,3,370.0,3,4,2,0,1,0,5,0,5,0,1249,1249,1,0,1,4,1249,1347,0,2596,0,0,3,1,4,1,2,9,6,0,2,1,2006.0,1,3,840,4,4,2,240,154,0,0,0,0,2,2,2,0,9,2006,6,5
321,60,3,99.0,12099,1,0,3,0,4,0,16,2,2,0,5,8,5,2004,2004,1,1,12,13,1,388.0,2,4,2,0,3,0,2,970,5,0,166,1136,1,0,1,4,1136,1332,0,2468,1,0,2,1,4,1,2,10,6,1,2,3,2004.0,0,3,872,4,4,2,184,154,0,0,0,0,2,2,2,0,6,2007,8,4
322,60,3,86.0,10380,1,0,3,0,4,0,20,2,2,0,5,7,5,1986,1987,1,1,9,10,1,172.0,2,4,1,3,3,1,3,28,0,1474,0,1502,1,0,1,4,1553,1177,0,2730,1,0,2,1,4,1,2,8,6,1,4,1,1987.0,0,2,576,4,4,2,201,96,0,0,0,0,2,2,2,0,8,2007,8,4
323,20,4,49.0,5820,1,3,3,0,4,0,17,2,2,0,2,3,8,1955,2005,1,1,12,13,2,0.0,3,2,1,3,3,3,0,256,5,0,906,1162,1,0,1,4,1163,0,0,1163,1,0,1,0,3,1,3,6,6,0,2,1,1955.0,2,1,220,1,4,2,142,98,0,0,0,0,2,2,2,0,7,2006,8,4
324,80,3,96.0,11275,1,3,3,0,0,0,12,4,2,0,7,7,7,1967,2007,4,6,13,14,1,300.0,2,2,1,2,3,3,5,0,5,0,710,710,1,0,1,4,1898,1080,0,2978,0,0,2,1,5,1,2,11,6,1,2,3,1961.0,0,2,564,4,4,2,240,0,0,0,0,0,2,2,2,0,6,2010,8,4
325,45,4,50.0,5000,1,3,3,0,4,0,9,5,2,0,1,5,6,1941,1950,1,1,8,8,2,0.0,3,4,1,3,3,0,1,116,5,0,604,720,1,3,0,1,803,0,0,803,0,0,1,0,2,1,3,5,6,0,2,5,1941.0,2,2,360,4,4,2,0,0,244,0,0,0,2,2,2,0,12,2007,8,4
326,120,3,32.0,10846,1,0,3,0,1,0,24,2,2,4,2,8,5,1993,1993,1,1,3,3,2,0.0,2,4,2,2,3,1,2,1619,5,0,100,1719,1,0,1,4,1719,0,0,1719,2,0,1,1,1,1,2,6,6,2,2,1,1993.0,0,2,473,4,4,2,122,30,0,0,0,0,2,2,2,0,5,2008,2,4
327,20,3,80.0,11600,1,3,3,0,4,0,12,2,2,0,2,6,5,1960,1960,3,1,13,14,1,175.0,3,4,1,3,3,3,4,565,5,0,818,1383,1,4,1,4,1383,0,0,1383,0,0,1,1,3,1,3,7,6,0,2,1,1960.0,1,1,292,4,4,2,0,45,0,0,0,0,2,2,2,0,4,2006,8,4
328,75,3,69.0,11888,1,0,0,0,4,0,3,4,2,0,4,6,6,1916,1994,1,1,13,15,2,0.0,3,4,0,3,3,3,5,0,5,0,844,844,1,2,0,0,1445,689,0,2134,0,0,2,0,5,1,2,10,6,0,2,5,1930.0,2,2,441,4,4,2,0,60,268,0,0,0,2,2,2,0,7,2009,8,4
329,70,4,60.0,6402,1,3,3,0,0,0,9,2,2,0,5,5,5,1920,1950,1,1,13,15,2,0.0,3,4,2,3,3,2,5,0,5,0,596,596,1,4,0,4,596,596,0,1192,0,0,1,0,3,1,3,6,6,0,2,5,1920.0,2,1,189,1,1,0,0,0,137,0,0,0,2,1,2,0,7,2009,8,4
330,90,3,69.0,10624,1,0,3,0,4,0,12,2,2,2,2,5,4,1964,1964,1,1,6,6,1,84.0,3,4,1,3,3,3,2,40,4,264,1424,1728,1,4,1,4,1728,0,0,1728,0,1,2,0,6,2,3,10,6,0,2,5,2002.0,2,1,352,4,4,2,155,0,0,0,0,0,2,2,2,0,11,2007,8,4
331,20,3,70.0,8176,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1992,1,1,13,14,2,0.0,3,4,1,3,3,3,4,846,5,0,210,1056,1,1,1,4,1056,0,0,1056,1,0,1,0,3,1,3,6,6,0,2,1,1958.0,1,1,308,4,4,2,0,0,0,0,0,0,2,2,2,0,8,2007,8,4
